"inst","ante_n","ante_score_est","ante_score_lower","ante_score_upper","ante_dg_z","ante_lr_est","breastmilk_n","breastmilk_score_est","breastmilk_score_lower","breastmilk_score_upper","breastmilk_dg_z","breastmilk_lr_est","eyex_n","eyex_score_est","eyex_score_lower","eyex_score_upper","eyex_dg_z","eyex_lr_est","nocld_n","nocld_score_est","nocld_score_lower","nocld_score_upper","nocld_dg_z","nocld_lr_est","nonci_n","nonci_score_est","nonci_score_lower","nonci_score_upper","nonci_dg_z","nonci_lr_est","nopntx_n","nopntx_score_est","nopntx_score_lower","nopntx_score_upper","nopntx_dg_z","nopntx_lr_est","notcold_n","notcold_score_est","notcold_score_lower","notcold_score_upper","notcold_dg_z","notcold_lr_est","survival_n","survival_score_est","survival_score_lower","survival_score_upper","survival_dg_z","survival_lr_est","gv_n","gv_score_est","gv_score_lower","gv_score_upper","gv_dg_z","gv_lr_est","score_geom","n_components","score_lr","score_bm","n","n2013","n2014","n2015","n2016","n2017","n2018","n2019","n2020","avg_yearly_census","size","deidhosp","Hospital_Name","CCSLEVEL","CITY","COUNTY","median_n","score_sd","avg_score","score_composite"
"100005",35,-1.55626544600825,-6.0584512697416,2.9459203777251,-1.3843447219245,0.926600301594182,2,0.735466600069626,-6.12903176353866,7.59996496367791,0.755053896730447,1.27049469413347,NA,NA,NA,NA,NA,NA,2,0.247053733679137,-6.61744462992915,7.11155209728742,0.112034441098091,1.03048221619923,3,0.520521214353117,-6.34397714925517,7.3850195779614,0.0889013094684574,1.08024710333259,39,1.41016045999263,-3.04113254264334,5.8614534626286,1.90001534498721,1.04914245329215,35,-4.09294002262842,-8.60766436317941,0.421784317922564,-3.00310481007004,0.824911087188586,33,1.10925910598938,-3.44131570161495,5.6598339135937,1.42256052762131,1.04588769097205,2,-1.42002188242791,-8.27792999284244,5.43788622798662,-1.17825387851527,0.815536834046781,0.400030606277095,8,1.00541279759488,-1.07719453342963,88,11,13,16,13,17,8,9,1,11,"<=20",1104,"CLOVIS COMMUNITY MEDICAL CENTER (100005)","I","CLOVIS","FRESNO",18,1.85634554741597,-0.380845779622586,-0.338581963576269
"100717",436,2.76835923806829,-1.2291521937478,6.76587066988439,3.14848190446988,1.03729237897111,480,2.44321342242892,-1.55621516611626,6.44264201097409,2.83689541749881,1.07347076164396,382,0.930605102105791,-3.07238332595069,4.93359353016227,1.00495216343712,1.00905710686783,488,0.795880568538595,-3.20297095603741,4.7947320931146,0.874033345018587,1.01701323030788,524,-0.658973523499378,-4.65544828126868,3.33750123426992,-0.71981506244955,0.991856079474803,536,0.1622599935565,-3.8370546664626,4.1615746535756,0.538339843620707,1.00142668469979,534,2.8453327572347,-1.15410004784819,6.84476556231759,3.1228510636158,1.02723742433452,534,-1.09433808192116,-5.09199727788133,2.90332111403901,-1.25679471142179,0.987348908977684,472,1.77241365469094,-2.22580524781374,5.77063255719561,2.19165456898998,1.01493281630439,0.563554124756871,9,1.01773726573133,3.32158437706773,1200,181,167,190,172,169,160,154,7,150,"51+",704,"COMMUNITY REGIONAL MEDICAL CENTER (100717)","C","FRESNO","FRESNO",488,1.45753012706641,1.10719479235591,1.9425692509123
"10739",310,1.25917289822858,-2.75413182939867,5.27247762585583,1.34307519150463,1.01921472125259,325,-1.47702323698363,-5.49332201975767,2.53927554579041,-1.51092728823727,0.947894087099607,206,0.0261035015910257,-4.01512891648624,4.06733591966829,0.0628048220465508,1.0003428402279,302,-0.990764197751264,-5.0110650095679,3.02953661406538,-0.984882428564247,0.975770181720001,332,1.91091368524084,-2.1042787235714,5.92610609405307,1.83772919040706,1.02574106897569,342,-0.0642560778479036,-4.08155409857177,3.95304194287596,-0.0455336074942488,0.999347763407627,340,3.12653619118755,-0.891055595557348,7.14412797793244,3.72396217245206,1.03525336250203,341,1.38604401974153,-2.62960392539635,5.40169196487942,1.69282839520569,1.01673859259368,297,6.51581205065193,2.49639189635991,10.5352322049439,6.63711488521416,1.06856493014322,0.572611088119428,9,1.00987417199137,3.89751294468622,750,108,123,96,113,114,103,92,1,93.75,"51+",355,"ALTA BATES SUMMIT MEDICAL CENTER (10739)","C","BERKELEY","ALAMEDA",325,2.43327647369334,1.29917098156207,2.23506201640282
"10776",NA,NA,NA,NA,NA,NA,44,-0.549013858639434,-4.93445702072344,3.83642930344457,-0.634395526345913,0.942507365828366,62,0.811375006591654,-3.43565697032308,5.05840698350638,0.954282226169709,1.01965138783218,54,-0.543895865532275,-4.844196788759,3.75640505769445,-0.163226661961533,0.965883091083869,79,0.870308827715268,-3.31717265410101,5.05779030953155,0.855726516366016,1.03427420386375,82,0.52100201776546,-3.66187581547995,4.70387985101087,1.80309673454025,1.012907882916,81,0.786405036774344,-3.39928591552706,4.97209598907575,0.35391123977765,1.02347089473754,76,-0.646403472218708,-4.84530569167332,3.5524987472359,-1.66289661502595,0.973335998733865,62,-2.44280038944761,-6.69417133875205,1.80857055985684,-2.47816266688,0.941214708216575,0.399939352747073,8,0.989155691651518,-0.421797219576005,156,18,22,28,17,25,29,17,NA,22.2857142857143,"21-50",282,"UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND (10776)","R","OAKLAND","ALAMEDA",69,1.14080673635317,-0.149127837123912,-0.0109289334144658
"10987",19,0.225197412839631,-4.87246883422759,5.32286365990685,0.26276103393683,1.01364267974183,8,-0.291830064474533,-7.15632842808282,6.57266829913375,-0.360197563759257,0.947112731856574,5,0.43561824654824,-6.40897538046167,7.28021187355815,0.600557095801136,1.03794572351554,10,0.923101494004376,-5.94139686960391,7.78759985761266,0.712246721579228,1.07701971950356,12,0.595361382199902,-5.54052481084676,6.73124757524656,0.505419221150685,1.02887950960227,21,-0.316267078432846,-5.2932628814043,4.66072872453861,-0.228730268719153,0.987099454402365,21,0.0585504216611147,-4.91844538131034,5.03554622463257,0.201083793688353,1.00290452632158,19,1.00965499032043,-4.10176923805417,6.12107921869503,0.879203187126573,1.04378694220378,7,-0.141133039994838,-6.99904115040937,6.71677507041969,-0.0784328806779153,0.990443645978783,0.514715559645625,9,1.01431499256959,0.832751254890492,31,NA,NA,4,4,9,7,7,NA,6.2,"<=20",1239,"WASHINGTON HOSPITAL HEALTH CARE SYSTEM - FREMONT (10987)","I","FREMONT","ALAMEDA",12,0.497683830404318,0.277583751630164,0.673733407268058
"14326",117,2.14837374877822,-1.95781315308597,6.25456065064241,2.62364266374322,1.05280110415279,105,1.91751704048353,-2.21221701763203,6.0472510985991,2.07575287862832,1.11624235830127,95,0.178110470234321,-3.96385237492962,4.32007331539826,0.181751075325888,1.00347674718231,119,1.63232064474831,-2.47719167179587,5.74183296129248,1.97038235834337,1.06377527229055,140,-0.609930633300699,-4.69695266100532,3.47709139440392,-0.444409989821952,0.986669185462462,144,0.531340458126478,-3.55595343742511,4.61863435367807,0.254463137347747,1.00849663548091,134,1.4140738727283,-2.68244020733733,5.51058795279393,1.65221242544157,1.02412327852725,141,-2.15012077210329,-6.23814889789764,1.93790735369106,-1.54122869106585,0.95807827415398,114,-1.15396596377851,-5.26814732416529,2.96021539660826,-1.1003743872322,0.980361070141531,0.438816314028254,9,1.0215582139659,1.30257295530555,285,31,33,47,41,57,37,39,NA,40.7142857142857,"21-50",606,"KAISER FOUNDATION HOSPITAL OAKLAND (14326)","R","OAKLAND","ALAMEDA",119,1.49584753758413,0.434190985101851,0.870694634666903
"14337",118,1.71973694228245,-2.38515363355447,5.82462751811936,2.01459384635191,1.04141618505491,111,-0.660342930126667,-4.7807587896691,3.46007292941577,-0.468556717055707,0.960887912134057,73,0.981985021764586,-3.2187647880295,5.18273483155867,1.17740723918236,1.02180664329581,114,-0.504213338409651,-4.62035345507026,3.61192677825096,-0.321018607763297,0.97969554723173,126,1.55286556679738,-2.54828522173181,5.65401635532656,1.53649137902274,1.03505197324199,129,-0.109653656673411,-4.21133389708008,3.99202658373325,-0.0751929676723799,0.998126563683097,119,1.83727405125188,-2.27609371294299,5.95064181544675,2.37508310350946,1.03470267938605,127,-0.157145106028132,-4.25910204541749,3.94481183336123,-0.262790037051658,0.996731424842791,112,3.11632873282387,-1.00067281703516,7.23333028268289,3.19909724581928,1.05339597983408,0.580624881256621,9,1.01353498985606,2.5922784278941,276,31,41,42,31,46,47,38,NA,39.4285714285714,"21-50",436,"KAISER FOUNDATION HOSPITAL SAN LEANDRO (14337)","C","SAN LEANDRO","ALAMEDA",118,1.29553834609579,0.864092809298033,1.58645165457536
"150722",96,-4.07050021271418,-8.21046323586371,0.0694628104353461,-3.453013272989,0.867575645367933,127,-3.47446637559445,-7.57450075119068,0.625568000001774,-3.09286229498283,0.787547638677332,102,1.89060609477685,-2.23822033288704,6.01943252244075,2.67945138603698,1.03505440602426,128,-1.47482218573452,-5.5737582472561,2.62411387578706,-0.461322395024879,0.941307939358836,135,1.55159626120951,-2.54012339157202,5.64331591399104,1.62318050291587,1.0354444045266,141,1.4541920603771,-2.63572589120332,5.54411001195752,2.02249855402771,1.02388144520993,140,2.45680330105182,-1.63401518461928,6.54762178672292,2.87725315288555,1.04780793531384,139,2.33626465349092,-1.75357558718663,6.42610489416846,3.0015559969612,1.04946895359689,133,-0.972841828005483,-5.06461402343046,3.1189303674195,-1.54044569206706,0.98459912846185,0.389527272773052,9,0.97474305517083,-0.10105607704748,338,55,47,40,46,43,46,60,1,42.25,"21-50",573,"BAKERSFIELD MEMORIAL HOSPITAL (150722)","C","BAKERSFIELD","KERN",133,2.53334585704032,-0.0336853590158268,0.144235597862786
"150736",109,-0.169584685646545,-4.28703633737531,3.94786696608222,-0.302371837777821,0.994681674752987,120,-3.53426141298166,-7.64251710448769,0.573994278524381,-3.49961911087195,0.781172171868452,98,0.775574573628994,-3.36051727034316,4.91166641760115,0.903655489930165,1.01486707500271,121,3.73032721563027,-0.376693447331984,7.83734787859252,3.82692970820092,1.14803122311601,134,1.064837722933,-3.0278650311481,5.1575404770141,1.02234696477968,1.025294690373,144,1.20680740561796,-2.88048648993363,5.29410130116955,1.34210875162565,1.02042799025276,140,0.814157478050358,-3.27666100762074,4.90497596372146,0.862695415602327,1.01552104673551,141,0.335758135652481,-3.75226999014187,4.42378626144683,-0.0316661448359119,1.00740428134959,124,2.14108022900266,-1.96041762032037,6.2425780783257,2.00656432482092,1.03517194533703,0.539140660678992,9,1.00473023319867,2.12156555396251,304,46,49,39,40,48,40,42,NA,43.4285714285714,"21-50",891,"KERN MEDICAL (150736)","C","BAKERSFIELD","KERN",124,1.95210313886882,0.707188517987503,1.33035310732075
"150788",74,-1.9906520998426,-6.18792149493354,2.20661729524835,-1.85129450875324,0.935152115139186,59,-2.28938275783458,-6.55883223396221,1.98006671829305,-2.25652194347623,0.805712381924431,19,0.821189948480688,-4.27647629858653,5.91885619554791,1.15905117272702,1.03549597329046,41,-1.24511266900176,-5.66519289373255,3.17496755572902,-0.889990499804179,0.919726085111898,62,1.74326481649377,-2.51025082592104,5.99678045890858,2.33633579273392,1.05935456611062,77,0.795309708835077,-3.40241071037202,4.99303012804217,0.698763231445825,1.0192841831736,76,1.02489361322279,-3.17604473154001,5.22583195798559,1.47069222769416,1.02676692612353,76,-1.52566695924417,-5.72456917869878,2.67323526021044,-1.62516202524788,0.955800932252054,37,-2.04417342091755,-6.5179122131011,2.429565371266,-2.03566956391275,0.939007541183301,0.322679928366348,9,0.96625563381212,-1.57010993993611,110,NA,NA,NA,17,37,20,36,NA,27.5,"21-50",1256,"ADVENTIST HEALTH BAKERSFIELD (150788)","N","BAKERSFIELD","KERN",62,1.58869379436845,-0.523369979978703,-0.623715005784881
