"inst","ante_n","ante_score_est","ante_score_lower","ante_score_upper","ante_dg_z","ante_lr_est","breastmilk_n","breastmilk_score_est","breastmilk_score_lower","breastmilk_score_upper","breastmilk_dg_z","breastmilk_lr_est","eyex_n","eyex_score_est","eyex_score_lower","eyex_score_upper","eyex_dg_z","eyex_lr_est","nocld_n","nocld_score_est","nocld_score_lower","nocld_score_upper","nocld_dg_z","nocld_lr_est","nonci_n","nonci_score_est","nonci_score_lower","nonci_score_upper","nonci_dg_z","nonci_lr_est","nopntx_n","nopntx_score_est","nopntx_score_lower","nopntx_score_upper","nopntx_dg_z","nopntx_lr_est","notcold_n","notcold_score_est","notcold_score_lower","notcold_score_upper","notcold_dg_z","notcold_lr_est","survival_n","survival_score_est","survival_score_lower","survival_score_upper","survival_dg_z","survival_lr_est","gv_n","gv_score_est","gv_score_lower","gv_score_upper","gv_dg_z","gv_lr_est","score_geom","n_components","score_lr","score_bm","n","n2013","n2014","n2015","n2016","n2017","n2018","n2019","n2020","avg_yearly_census","size","deidhosp","Hospital_Name","CCSLEVEL","CITY","COUNTY","median_n","score_sd","avg_score","score_composite"
"100005",35,-1.73477548591688,-6.23696130965024,2.76741033781647,-1.47605330601237,0.920895571132486,2,0.735904913396767,-6.12859345021152,7.60040327700505,0.755053896730447,1.2708221077525,NA,NA,NA,NA,NA,NA,2,0.246318564513512,-6.61817979909477,7.1108169281218,0.112034441098091,1.03030165814578,3,0.509842266077448,-6.35465609753084,7.37434062968573,0.0889013094684574,1.07739082840889,39,1.41064191752818,-3.04065108510779,5.86193492016416,1.90001534498721,1.04916245744625,35,-4.09782686742176,-8.61255120797275,0.416897473129223,-3.00310481007004,0.824805582475965,33,1.10415178333146,-3.44642302427287,5.65472659093578,1.42256052762131,1.04566384552432,2,-1.41865574463222,-8.27656385504675,5.43925236578231,-1.17825387851527,0.815683713344893,0.393982669211917,8,1.00434072052889,-1.14706814424806,88,11,13,16,13,17,8,9,1,11,"<=20",1104,"CLOVIS COMMUNITY MEDICAL CENTER (100005)","I","CLOVIS","FRESNO",18,1.87348718434433,-0.405549831640438,-0.376542737518074
"100717",428,2.82272411772377,-1.1755105497025,6.82095878515003,3.207682042617,1.03680608496777,480,2.43612425720253,-1.56330433134265,6.43555284574771,2.83689541749881,1.07325366162836,382,0.946007884793366,-3.05698054326312,4.94899631284985,1.00495216343712,1.00922957069051,488,0.786096919318594,-3.21275460525741,4.7849484438946,0.874033345018587,1.01680100601465,524,-0.737927742384799,-4.7344025001541,3.2585470153845,-0.71981506244955,0.990933931487137,536,0.155990720031809,-3.84332393998729,4.15530538005091,0.538339843620707,1.00137078156807,534,2.85017622414576,-1.14925658093713,6.84960902922865,3.1228510636158,1.02730529252489,534,-1.09327233639948,-5.09093153235966,2.90438685956069,-1.25679471142179,0.987359766346268,472,1.77662541420313,-2.22159348830155,5.7748443167078,2.19165456898998,1.01496856229554,0.560562297312172,9,1.0175587397248,3.31418181954489,1200,181,167,190,172,169,160,154,7,150,"51+",704,"COMMUNITY REGIONAL MEDICAL CENTER (100717)","C","FRESNO","FRESNO",488,1.47798715417681,1.10472727318163,1.93737205842853
"10739",307,1.21289497338075,-2.80094623435561,5.22673618111711,1.29887984304641,1.01824931970133,325,-1.47478702680524,-5.49108580957928,2.5415117559688,-1.51092728823727,0.947963472098532,206,0.027279563028276,-4.01395285504899,4.06851198110554,0.0628048220465508,1.00035837208315,302,-0.998170488165453,-5.01847129998209,3.02213032365119,-0.984882428564247,0.975595721097896,332,1.85726588494675,-2.15792652386548,5.87245829375899,1.83772919040706,1.0248377593728,342,-0.0597585649797688,-4.07705658570364,3.9575394557441,-0.0455336074942488,0.999393133994108,340,3.12520597680856,-0.892385809936332,7.14279776355345,3.72396217245206,1.03523686587665,341,1.38440293846765,-2.63124500667023,5.40005088360553,1.69282839520569,1.01671649777309,297,6.52067058226072,2.50125042796871,10.5400907365527,6.63711488521416,1.06861858626409,0.569712762542358,9,1.00966330314018,3.86500127964742,750,108,123,96,113,114,103,92,1,93.75,"51+",355,"ALTA BATES SUMMIT MEDICAL CENTER (10739)","C","BERKELEY","ALAMEDA",325,2.43312044981764,1.28833375988247,2.21735702109489
"10776",NA,NA,NA,NA,NA,NA,44,-0.558252421339667,-4.94369558342367,3.82719074074434,-0.634395526345913,0.941639588096904,62,0.836886802035985,-3.41014517487875,5.08391877895072,0.954282226169709,1.02051280001526,54,-0.531008161674146,-4.83130908490088,3.76929276155258,-0.163226661961533,0.966604143740927,79,0.878358723672388,-3.30912275814389,5.06584020548867,0.855726516366016,1.03462792643479,82,0.511421824216612,-3.6714560090288,4.69429965746202,1.80309673454025,1.01263893629948,81,0.757306216580665,-3.42838473572074,4.94299716888207,0.35391123977765,1.02246078855114,76,-0.631281719169185,-4.8301839386238,3.56762050028542,-1.66289661502595,0.97392749586756,62,-2.45727248904684,-6.70864343835128,1.7940984602576,-2.47816266688,0.940887334237542,0.405945998985835,8,0.98916237665545,-0.422086612831263,156,18,22,28,17,25,29,17,NA,22.2857142857143,"21-50",282,"UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND (10776)","R","OAKLAND","ALAMEDA",69,1.14387321813581,-0.149230153090524,-0.00807030692271404
"10987",18,0.119017007481317,-5.06184358992114,5.29987760488377,0.121438587320033,1.00723226928195,8,-0.291084463509472,-7.15558282711776,6.57341390009881,-0.360197563759257,0.947231032594465,5,0.435233465702833,-6.40936016130708,7.27982709271274,0.600557095801136,1.03787810437927,10,0.922783010634184,-5.9417153529741,7.78728137424247,0.712246721579228,1.07686585408596,12,0.588263150840678,-5.54762304220598,6.72414934388734,0.505419221150685,1.02821604768105,21,-0.316334387721146,-5.2933301906926,4.66066141525031,-0.228730268719153,0.987112353888417,21,0.0600525541370644,-4.91694324883439,5.03704835710852,0.201083793688353,1.00298031061706,19,1.00878374065422,-4.10264048772038,6.12020796902882,0.879203187126573,1.04373406796565,7,-0.137308204693197,-6.99521631510773,6.72059990572133,-0.0784328806779153,0.990700539069926,0.511198777001453,9,1.01355006439597,0.796468624508827,31,NA,NA,4,4,9,7,7,NA,6.2,"<=20",1239,"WASHINGTON HOSPITAL HEALTH CARE SYSTEM - FREMONT (10987)","I","FREMONT","ALAMEDA",12,0.498963308365067,0.265489541502942,0.65383370075514
"14326",117,2.03070965215975,-2.07547724970444,6.13689655402395,2.41994451407118,1.04848315780777,105,1.91719536372987,-2.21253869438569,6.04692942184543,2.07575287862832,1.116227065283,95,0.174335766277561,-3.96762707888638,4.3162986114415,0.181751075325888,1.0033993104894,119,1.63000380226976,-2.47950851427441,5.73951611881393,1.97038235834337,1.06365734747548,140,-0.65176581615617,-4.73878784386079,3.43525621154845,-0.444409989821952,0.985847328699605,144,0.535064846443959,-3.55222904910763,4.62235874199555,0.254463137347747,1.00856428390586,134,1.421048848331,-2.67546523173463,5.51756292839663,1.65221242544157,1.0242937225782,141,-2.14938444850596,-6.2374125743003,1.93864367728839,-1.54122869106585,0.958072069784179,114,-1.15292195476609,-5.26710331515287,2.96125940562069,-1.1003743872322,0.980378951219044,0.438816314028254,9,1.02099147080473,1.25142868659456,285,31,33,47,41,57,37,39,NA,40.7142857142857,"21-50",606,"KAISER FOUNDATION HOSPITAL OAKLAND (14326)","R","OAKLAND","ALAMEDA",119,1.48324841104252,0.417142895531521,0.845122500311408
"14337",115,1.59464124581774,-2.5142087708659,5.70349126250137,1.81612684018861,1.0382034160856,111,-0.661048671961473,-4.78146453150391,3.45936718758096,-0.468556717055707,0.960840398912521,73,0.979478671721354,-3.22127113807273,5.18022848151544,1.17740723918236,1.02172649340381,114,-0.506447253032103,-4.62258736969271,3.6096928636285,-0.321018607763297,0.979606526286203,126,1.52651908315038,-2.5746317053788,5.62766987167957,1.53649137902274,1.03424781786741,129,-0.118856399291396,-4.22053663969806,3.98282384111527,-0.0751929676723799,0.997973583294744,119,1.84330196864784,-2.27006579554703,5.95666973284271,2.37508310350946,1.03489075617989,127,-0.173207407721918,-4.27516434711128,3.92874953166744,-0.262790037051658,0.996404390543576,112,3.12253101014159,-0.994470539717437,7.23953256000061,3.19909724581928,1.05350670218784,0.575531987200662,9,1.0130444538624,2.535637415824,276,31,41,42,31,46,47,38,NA,39.4285714285714,"21-50",436,"KAISER FOUNDATION HOSPITAL SAN LEANDRO (14337)","C","SAN LEANDRO","ALAMEDA",115,1.28882826878626,0.845212471941334,1.55558470151233
"150722",96,-4.38898647583286,-8.52894949898239,-0.249023452683334,-3.65643009415517,0.861478362361725,127,-3.48072595512287,-7.58076033071909,0.619308420473359,-3.09286229498283,0.787280439262712,102,1.90626104118093,-2.22256538648296,6.03508746884483,2.67945138603698,1.03563937994792,128,-1.49257141089833,-5.59150747241991,2.60636465062325,-0.461322395024879,0.940695758694667,135,1.52498880077083,-2.5667308520107,5.61670845355235,1.62318050291587,1.03463922746037,141,1.45222540927663,-2.63769254230379,5.54214336085705,2.02249855402771,1.02383027668368,140,2.44909055162088,-1.64172793405022,6.53990903729199,2.87725315288555,1.04753705650538,139,2.33589192888769,-1.75394831178985,6.42573216956524,3.0015559969612,1.04945421278991,133,-0.973022693142561,-5.06479488856754,3.11874950228242,-1.54044569206706,0.984596338792648,0.383424723005213,9,0.973905672499891,-0.222282934419886,338,55,47,40,46,43,46,60,1,42.25,"21-50",573,"BAKERSFIELD MEMORIAL HOSPITAL (150722)","C","BAKERSFIELD","KERN",133,2.59871613992389,-0.0740943114732954,0.0805708942926636
"150736",106,-0.0623062524105276,-4.18444049116241,4.05982798634136,-0.132883957795596,0.99813363972576,120,-3.54142908312031,-7.64968477462635,0.566826608385724,-3.49961911087195,0.780790978011621,98,0.800465504474571,-3.33562633949759,4.93655734844673,0.903655489930165,1.0154769143,121,3.7245685915287,-0.382452071433552,7.83158925449096,3.82692970820092,1.14768178761188,134,1.03845781177862,-3.05424494230248,5.13116056585972,1.02234696477968,1.02454458300536,144,1.21255846086929,-2.87473543468229,5.29985235642088,1.34210875162565,1.02055090079331,140,0.812937757025622,-3.27788072864548,4.90375624269672,0.862695415602327,1.0154941056827,141,0.308391535792581,-3.77963659000177,4.39641966158693,-0.0316661448359119,1.00677540811628,124,2.1463760732836,-1.95512177603944,6.24787392260664,2.00656432482092,1.03526096261914,0.539221751895019,9,1.0049676977629,2.14667346640738,304,46,49,39,40,48,40,42,NA,43.4285714285714,"21-50",891,"KERN MEDICAL (150736)","C","BAKERSFIELD","KERN",124,1.9481448642657,0.715557822135794,1.3429476091512
"150788",70,-1.19656940435492,-5.40839869835729,3.01525988964745,-1.06949119001791,0.962517635709698,59,-2.28980053985855,-6.55925001598618,1.97964893626908,-2.25652194347623,0.805657374994869,19,0.820203203664825,-4.27746304340239,5.91786945073204,1.15905117272702,1.03541119838721,41,-1.24951505316418,-5.66959527789496,3.1705651715666,-0.889990499804179,0.919501170943959,62,1.72559321758589,-2.52792242482892,5.9791088600007,2.33633579273392,1.05837118001036,77,0.79505757009577,-3.40266284911132,4.99277798930286,0.698763231445825,1.0192729961779,76,1.033118565035,-3.1678197797278,5.2340569097978,1.47069222769416,1.02706361748464,76,-1.53329013698463,-5.73219235643924,2.66561208246998,-1.62516202524788,0.955641302432036,37,-2.04075781186177,-6.51449660404532,2.43298098032178,-2.03566956391275,0.939104112796723,0.335630252973176,9,0.9691711765486,-1.31198679661419,110,NA,NA,NA,17,37,20,36,NA,27.5,"21-50",1256,"ADVENTIST HEALTH BAKERSFIELD (150788)","N","BAKERSFIELD","KERN",62,1.51577002762972,-0.437328932204729,-0.488178271820506
"154108",48,-2.58844995390372,-6.92826372065597,1.75136381284853,-2.17327880887341,0.888810883409269,42,1.26774502582736,-3.14017422989073,5.67566428154545,1.69157492609695,1.14612040050964,15,-0.691828544034463,-6.21402619891829,4.83036911084936,-0.563443028423928,0.966383785161401,31,0.344493750599511,-4.24755683305365,4.93654433425267,0.501757546827563,1.03227123441613,43,-0.218261138637608,-4.61465064661548,4.17812836934027,-0.133546027799471,0.988960357931064,54,-0.287185689681425,-4.59185577257663,4.01748439321378,-0.230660452443724,0.991351400665368,54,0.637534034977347,-3.66713604791786,4.94220411787255,0.359594273071291,1.02076737219996,53,-0.279659805949576,-4.58909713083499,4.02977751893584,-0.0851387894356209,0.988610366591174,28,-1.2676361960111,-5.93694602601706,3.40167363399486,-0.448147405665877,0.956061910765012,0.361900916573307,9,0.997704190183223,-1.02774950560456,128,21,30,25,30,22,NA,NA,NA,25.6,"21-50",NA,"MERCY SOUTHWEST HOSPITAL (154108)","N","BAKERSFIELD","KERN",43,1.12193797566419,-0.342583168534852,-0.332924294515625
"190034",191,0.922798999556904,-3.12503380165477,4.97063180076857,1.00700441325549,1.01926464700677,197,-3.10150348336009,-7.15223383454757,0.949226867827384,-3.1409800726423,0.844934741263656,136,-2.97816195264108,-7.06309318970919,1.10676928442702,-2.33554912850477,0.951821069514831,165,-4.85587658315657,-8.92380467712139,-0.787948489191746,-4.21914854189714,0.828072025205188,201,2.28265547968067,-1.76631931096312,6.33163027032446,2.48032772342986,1.04432721930406,215,-2.47737010180904,-6.52440915171609,1.569668948098,-2.42747839449915,0.965264244826749,213,0.606121508005699,-3.4416759281577,4.6539189441691,0.574746033265147,1.00946630376538,215,-0.588808117162446,-4.63401275813141,3.45639652380652,-0.368563073752345,0.989623664587052,177,4.7633567726435,0.704511763312744,8.82220178197425,4.13252559342594,1.06509046253403,0.228188520932139,9,0.968651597556413,-1.80892915941415,468,84,65,53,66,70,68,60,2,58.5,"51+",265,"ANTELOPE VALLEY HOSPITAL (190034)","C","LANCASTER","LOS ANGELES",197,3.04957308157946,-0.602976386471385,-0.790370319241007
"190053",37,-1.08527841453317,-5.55404368275664,3.3834868536903,-1.0028558011134,0.946728588609606,37,-1.63337579126965,-6.10957335910861,2.8428217765693,-1.69622048983414,0.827702349027823,21,-0.318780327574366,-5.27973747331404,4.64217681816531,-0.298920240368322,0.986777743236348,36,-0.0577547238845365,-4.55020442750903,4.43469497973996,-0.299820472519783,0.996342064891569,38,-1.16055273906485,-5.62146659089386,3.30036111276417,-1.10338187347382,0.96112535447087,41,0.244588932989863,-4.18019467509683,4.66937254107656,0.119678035337793,1.00679830072649,40,0.445315794603277,-3.99234954546908,4.88298113467563,0.303441809030929,1.01390039647404,41,-1.9109889843397,-6.33342964807536,2.51145167939596,-1.44979344563855,0.941524186651808,35,-0.924309149687629,-5.43156677439173,3.58294847501647,-0.992709216915518,0.971656013920676,0.290645702011859,9,0.961394999778803,-2.13371180092026,116,20,22,19,15,14,9,17,NA,16.5714285714286,"<=20",349,"ST. MARY MEDICAL CENTER (190053)","C","LONG BEACH","LOS ANGELES",37,0.829850516224879,-0.711237266973418,-0.921533049454198
"190125",99,-1.15155648583167,-5.28577425194395,2.9826612802806,-1.06931606078328,0.968319053616229,94,-5.4251394920033,-9.57520588723081,-1.2750730967758,-4.89260959651813,0.626077639254369,74,0.340824291396241,-3.85644510369471,4.53809368648719,0.384098149305328,1.00745996760263,91,0.398656928848213,-3.75785323490815,4.55516709260457,0.767012714765433,1.019964122593,102,0.275018684954386,-3.85980505319951,4.40984242310828,0.412225266958375,1.00753407649586,112,0.313836573058666,-3.80900783199191,4.43668097810924,1.41647256323593,1.00611751921176,111,-1.22595390818837,-5.35025393562488,2.89834611924813,-1.27182974439946,0.972623362002594,109,-2.03637703344029,-6.16173335172032,2.08897928483974,-1.73374890213905,0.946383269624438,92,-0.290050200529902,-4.44235348693218,3.86225308587238,-0.326632093934363,0.994522836696821,0.258789329633587,9,0.949889094121968,-2.93358021391201,292,49,51,54,42,23,36,31,6,36.5,"21-50",452,"CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES (190125)","C","LOS ANGELES","LOS ANGELES",99,1.88200254777456,-0.977860071304004,-1.33739544213921
"190148",44,-1.22073167125227,-5.59913469074389,3.15767134823935,-1.08655444968655,0.945205505567717,47,-3.37644605878542,-7.73213965482942,0.979247537258589,-3.25302171325264,0.66274684734834,32,1.06691613332836,-3.4944851412231,5.62831740787983,1.49368810223666,1.03559343271524,45,0.0808003691885077,-4.29423673328613,4.45583747166314,0.215775731846925,1.00484981184701,48,0.321116435998015,-4.02557231080914,4.66780518280517,0.376302837380652,1.01044561242276,53,1.50001526584277,-2.81160796724812,5.81163849893367,2.22298607234672,1.04157008507016,49,0.466555812898875,-3.87600643480181,4.80911806059956,-0.170461821171247,1.01562299547081,52,-0.0844429497985421,-4.401116398259,4.23223049866191,-0.652731121649731,0.997224967258189,44,0.504784496734423,-3.87832973274174,4.88789872621058,0.734415657490841,1.0138601597396,0.440875737879986,9,0.969679935271091,-0.247144055281757,135,23,21,24,20,17,14,16,NA,19.2857142857143,"<=20",703,"CENTINELA HOSPITAL MEDICAL CENTER (190148)","C","INGLEWOOD","LOS ANGELES",47,1.44944412801664,-0.0823813517605858,0.0968658412991142
"190170",NA,NA,NA,NA,NA,NA,34,-0.828094341684474,-5.35634548675564,3.70015680338669,-0.323061464729337,0.906809639813748,88,0.217360746453892,-3.93994355572528,4.37466504863306,0.0580018592656515,1.00463888594394,49,-4.99569113157319,-9.33377973025661,-0.657602532889764,-3.52032348489022,0.627117441014401,129,-3.91900551748029,-8.01686092729672,0.178849892336144,-3.30566758080695,0.866302612315021,133,-1.12451811305436,-5.22203322717748,2.97299700106875,-0.600118927573774,0.976968312330721,132,1.60966565134597,-2.48886621669767,5.7081975193896,1.25870657552631,1.03795882837257,114,1.00797588543759,-3.11010804116653,5.1260598120417,1.45451757531061,1.03787528663307,99,-7.51834896748701,-11.6565949996409,-3.38010293533308,-6.49523752227913,0.855115884069182,0.138610770969359,8,0.914098361311581,-5.49798707981112,201,27,32,26,28,33,24,30,1,25.125,"21-50",445,"CHILDREN'S HOSPITAL LOS ANGELES (190170)","R","LOS ANGELES","LOS ANGELES",106.5,3.21198223641738,-1.94383197350523,-2.67968815442088
"190200",39,0.94638602349221,-3.49282544647347,5.38559749345789,1.07891749522077,1.03904155225118,38,-2.86908209364195,-7.32999594547097,1.59183175818706,-2.79247556979793,0.69111816242397,19,-0.4420314338245,-5.53969768089172,4.65563481324272,-0.381164198925136,0.980915872156309,29,-2.558706884548,-7.20193008868547,2.08451631958947,-2.192337482994,0.799356884489414,38,-0.70180294878929,-5.16271680061831,3.75911090303973,-0.82183665213417,0.968721335947251,43,0.617942366145965,-3.78308372620092,5.01896845849285,0.723126640466397,1.01953694422155,43,0.214987081529082,-4.18603901081781,4.61601317387597,0.162766767468252,1.00756293075606,43,-1.59057465992385,-5.98929109710167,2.80814177725398,-1.4447503826191,0.93596987178577,32,0.423032089898565,-4.14361675384556,4.98968093364269,0.532514040331207,1.01343861268976,0.299216010627002,9,0.939518018524584,-1.98661681988726,106,15,18,15,11,16,13,18,NA,15.1428571428571,"<=20",783,"SAN GABRIEL VALLEY MEDICAL CENTER (190200)","C","SAN GABRIEL","LOS ANGELES",38,1.3942958964962,-0.662205606629086,-0.843700404630128
"190315",38,0.233689894010191,-4.21985822205201,4.68723801007239,0.241005536926536,1.0097256133698,40,0.00766692822735186,-4.42525866828526,4.44059252473996,-0.0279769667666841,1.00073931190421,29,-0.00837395931357111,-4.64342403316701,4.62667611453987,0.008606187435247,0.99970736396007,40,-0.151234745631431,-4.58416034214404,4.28169085088118,-0.203626391641649,0.990994550753429,42,-0.103722681221757,-4.51164193693984,4.30419657449633,-0.0258466322378675,0.996605748278589,43,1.18832844240453,-3.21269764994236,5.58935453475142,1.39782000508564,1.03248346350487,43,-9.59347545283374,-13.9945015451806,-5.19244936048685,-5.23416923404133,0.723052934351446,43,0.488032941629122,-3.91068349554871,4.88674937880695,0.534192800620739,1.01371155882841,41,2.4142157279038,-2.00348630171324,6.83191775752083,2.39031883797557,1.06945398042377,0.362181768192151,9,0.981830502819399,-1.8416243016085,129,27,34,14,18,12,11,13,NA,18.4285714285714,"<=20",432,"GARFIELD MEDICAL CENTER (190315)","C","MONTEREY PARK","LOS ANGELES",41,3.46789380658998,-0.613874767202834,-0.739721266708175
"190323",43,-0.164106575698709,-4.55340903893722,4.2251958875398,-0.171558999335542,0.993477385977826,43,-2.75788787272259,-7.15427738070046,1.63850163525529,-2.65978915287975,0.729924591663861,28,-4.16739585018878,-8.83114946144941,0.49635776107186,-2.4738204799712,0.850877489568201,42,-1.3518625141292,-5.75978176984728,3.05605674158889,-1.33643829658203,0.916103835788023,45,-3.81220677001776,-8.18724387249239,0.562830332456881,-2.62872845324801,0.869244297304783,50,1.50004170288083,-2.83427564017355,5.8343590459352,2.20671067692217,1.04381339108037,49,-1.36078105987215,-5.70334330757284,2.98178118782853,-1.44064161451357,0.959867765809439,48,0.404417768669675,-3.94452816160614,4.75336369894549,0.188468691831796,1.01224058136405,43,1.59219693670385,-2.80184810967522,5.98624198308293,1.42429487439135,1.04458953736628,0.245139900672429,9,0.935570986213649,-3.37252807812494,102,19,12,18,15,9,21,7,1,12.75,"<=20",549,"ADVENTIST HEALTH GLENDALE (190323)","C","GLENDALE","LOS ANGELES",43,2.14438414106934,-1.12417602604165,-1.56369408872626
